"","log2FoldChange","pvalue","padj","BCH_309","BCH_313","BCH_314","BCH_317","BInt_390","BInt_391","BInt_392","BInt_398","gene"
"ENSMUSG00000000001",-0.560313130876423,0.0035506009352317,0.0363574724063294,569.642154995944,623.793139636217,593.384731882926,491.911788665589,441.697967252189,267.059881089289,476.968971379859,356.072526767049,"Gnai3"
"ENSMUSG00000000028",-0.369528928227494,0.307964804449705,0.499671213071242,29.0527875043469,55.0144731969352,28.387232543782,36.8166827275701,39.2396827399439,19.8311792888086,32.8377949314877,23.0046857180959,"Cdc45"
"ENSMUSG00000000037",-0.327558162452572,0.482316070919775,0.662002450282045,30.0903870580735,16.8592740442221,13.7357576824751,18.408341363785,12.0737485353674,27.763651004332,13.1351179725951,11.0022409956111,"Scml2"
"ENSMUSG00000000056",-0.57431372230848,0.0153442363401101,0.080146653421737,790.650859939725,879.34424093811,792.0953596894,652.473432783047,689.20981222722,269.704038327796,573.840466427747,556.113272141796,"Narf"
"ENSMUSG00000000058",-0.181225132438812,0.354486521475932,0.544383185291217,392.212631308683,354.932085141518,506.391599893917,371.234884169665,293.794547693939,304.078082428398,465.475743153838,367.07476776266,"Cav2"
"ENSMUSG00000000078",0.382251514863643,0.0515270026072916,0.165242434196872,798.951656369539,676.145622194591,787.516773795241,715.879941924974,713.357309297955,1349.84227025824,813.556369427607,1009.2055604156,"Klf6"
"ENSMUSG00000000085",-0.322067848914076,0.0857125787352369,0.225851719345549,771.974067972645,778.188596672777,712.427965131044,812.012391269184,815.984171848577,454.795045023343,518.837159917505,668.136089551654,"Scmh1"
"ENSMUSG00000000088",0.588363965895813,0.0101790602518242,0.0642729571538476,1371.70661002666,1256.45958140097,1626.31370960506,1738.56557324636,1490.10179840659,3421.5394666291,1837.27462641674,2265.46144136901,"Cox5a"
"ENSMUSG00000000093",0.0284878727868226,0.937326209895212,0.97098081422915,25.9399888431668,39.0425293655669,37.5444043320987,19.4310269951064,34.2089541835408,31.7298868620937,20.5236218321798,39.0079453480756,"Tbx2"
"ENSMUSG00000000120",-0.493740131834895,0.106127619001827,0.257553244181757,119.323948678567,80.7470493696952,103.476041207979,88.973649924961,84.5162397475715,42.3065158161249,45.1519680307956,106.021595048616,"Ngfr"
"ENSMUSG00000000125",-0.00254574830569713,0.992892914546994,0.996861684720353,53.955176793787,64.775105538327,97.0660209561576,89.9963355562824,65.3994712332399,113.698761255836,66.4965347362626,62.0126310661715,"Wnt3"
"ENSMUSG00000000126",-0.299050505341757,0.229710223008775,0.417501094325429,256.287089770488,150.846136185145,201.457779342969,186.128784900493,218.333619347893,97.8338178247889,164.188974657438,163.033207480419,"Wnt9a"
"ENSMUSG00000000127",-0.442005470553317,0.0720596774631136,0.203324516109265,201.294313422975,271.523045133261,146.514748613068,175.901928587279,154.946439537214,100.477975063297,189.638265729341,138.028114308575,"Fer"
"ENSMUSG00000000131",-0.102601812927508,0.444921864051882,0.630382865035765,1447.45137744871,1467.64417206018,1379.0700713205,1512.55204872434,1596.75324380233,1218.9564869521,1251.94093176297,1339.27279028393,"Xpo6"
"ENSMUSG00000000134",-0.0399097347767889,0.772768891985082,0.872019864898599,614.258935806191,589.187261334919,582.396125736946,665.768345990225,662.043878022643,555.27302008664,538.539836876398,628.127940476705,"Tfe3"
"ENSMUSG00000000142",-0.62999725060646,0.0099422529224868,0.0634817495013363,501.160584449983,495.130258772417,417.567033547244,390.665911164771,391.390681688159,163.937748787484,238.894958126573,370.075378943282,"Axin2"
"ENSMUSG00000000148",-0.260887371524206,0.164918407497129,0.339537897788207,422.303018366756,402.847916635622,373.612608963324,352.82654280588,409.50130449121,248.550780419734,272.553697931348,363.073952855165,"Brat1"
"ENSMUSG00000000149",-0.214384922116521,0.119553199440093,0.278424958608778,2102.17669585024,2053.28211254368,1784.73278154294,1945.14807077329,1862.37571158041,1532.28911971527,1505.61289760871,1895.38606242573,"Gna12"
"ENSMUSG00000000154",0.0539070809206669,0.928532236097231,NA,7.26319687608672,5.32398127712276,20.1457779342969,15.3402844698209,12.0737485353674,18.5091006695547,4.10472436643596,16.0032596299797,"Slc22a18"
"ENSMUSG00000000167",-0.412777313747371,0.279311031443353,0.469781626494581,21.7895906282602,23.9579157470524,27.4715153649503,42.9527965154984,17.1044770917704,18.5091006695547,22.1655115787542,29.0059080793383,"Pih1d2"
"ENSMUSG00000000168",-0.176044853794122,0.169377174077351,0.344954485254625,1501.4065542425,1608.72967590393,1684.00389187145,1688.45397731162,1483.05877842762,1318.11238339614,1610.69384138947,1323.26953065395,"Dlat"
"ENSMUSG00000000171",0.281293661677716,0.0383941141656431,0.137794199208913,937.989996568913,963.64061115922,947.767280090785,974.619406649285,1003.12727414677,1189.87075732851,1348.81242681086,1104.2249144686,"Sdhd"
"ENSMUSG00000000184",0.275935806668449,0.134173716620791,0.298842747756344,890.260417097486,1212.98040097114,1163.87653429506,1044.16202957914,1198.31954213521,1774.22950703874,1092.67762634525,1160.23632317353,"Ccnd2"
