"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000295",213.581792452147,1.00487418644057,0.289509879700443,3.47094954921855,0.000518621429074187,0.0143965725183078
"ENSMUSG00000000402",34.008397859406,-1.14001638836468,0.352519712920658,-3.2339081945788,0.00122108700469056,0.0225716082685225
"ENSMUSG00000000682",22.1396073634587,1.23724618264138,0.45461360475607,2.72153356102321,0.00649797866747516,0.0499317563685984
"ENSMUSG00000001023",112.263892887491,1.26087952936447,0.314235135469288,4.01253515932084,6.00701285647403e-05,0.00537171620882599
"ENSMUSG00000001741",104.195536238997,-1.07268468516039,0.320712766902495,-3.34468969078026,0.000823746777306738,0.0182485018889742
"ENSMUSG00000001948",70.2618991095984,1.00712160177992,0.33736895049239,2.98522315201213,0.00283371516711449,0.0321679730843835
"ENSMUSG00000002831",152.138145654953,1.21464246092051,0.273589094565608,4.43965963939119,9.01012593127355e-06,0.00210812261515277
"ENSMUSG00000003190",36.1089986820135,1.03154079243943,0.366937207705858,2.81121884283352,0.00493542042669726,0.0431710338181057
"ENSMUSG00000005580",388.492681628038,-1.42285410033431,0.291805019334833,-4.87604395420508,1.08234501390129e-06,0.000543719201100999
"ENSMUSG00000006764",49.0823333826727,-1.95728171025887,0.530151488555226,-3.6919291042507,0.000222559510812248,0.0099904322672332
"ENSMUSG00000007440",22.3220327982706,-1.20936788051019,0.439525614334674,-2.75152992469132,0.00593176000113844,0.0474096681419956
"ENSMUSG00000007653",457.273906070047,-2.26437085803892,0.595414884440125,-3.80301352420529,0.000142946548698757,0.00817773495259936
"ENSMUSG00000014294",1138.65340629569,1.12449612120628,0.2758435071321,4.07657273828005,4.57043627175344e-05,0.00470259346515354
"ENSMUSG00000014498",710.855611134823,-1.21013534224299,0.304566161016975,-3.97330858491381,7.08811232132467e-05,0.00580683799812157
"ENSMUSG00000015127",207.433937139996,-1.00519005203837,0.322946191513362,-3.1125620256673,0.00185471035704317,0.0267449650640075
"ENSMUSG00000015659",205.869835667255,-1.07026199725472,0.288864236832896,-3.70506923594647,0.000211332998861867,0.00979258221691274
"ENSMUSG00000016150",294.465296321901,-1.15054876551149,0.229414971303232,-5.01514246858257,5.29941829713508e-07,0.00033523727598173
"ENSMUSG00000016239",43.5935267893018,-1.57538457929016,0.419718490231137,-3.75343144502068,0.000174430252199901,0.00903612140432335
"ENSMUSG00000016942",24.0056627706095,1.42262968457506,0.414775550990857,3.42987835511649,0.000603851899782416,0.0155488729354615
"ENSMUSG00000018126",113.838630095241,1.02812928211954,0.253385711762858,4.05756613096542,4.95867786236895e-05,0.00498201281701539
"ENSMUSG00000018698",30.6630105732149,-1.80273472207759,0.547564244546507,-3.29227983753873,0.000993786735181225,0.0203364195409247
"ENSMUSG00000019787",69.2770084577588,1.34797708301391,0.329744771474771,4.08794073363205,4.35219298986328e-05,0.00458860841153486
"ENSMUSG00000019892",51.7693021692598,1.10862147674169,0.393291376529154,2.81882986229044,0.00481990585173331,0.0427065412703444
"ENSMUSG00000020044",569.768781694336,-1.21747487464514,0.232146635883298,-5.24442178544931,1.56773191846917e-07,0.000148760339819186
"ENSMUSG00000020163",2067.77348100167,1.03245596756784,0.280573468840047,3.67980611936063,0.000233411345882164,0.010134550947133
"ENSMUSG00000020219",1806.92888860118,1.03447904028147,0.265985047712346,3.88923756872314,0.000100559643385396,0.00695367898389699
"ENSMUSG00000020562",38.8727042560342,1.5340356602726,0.404719309639214,3.79036933434215,0.000150423448138254,0.0083618284145615
"ENSMUSG00000020686",71.2682472042353,1.0618911182681,0.379611057706642,2.79731345204573,0.00515295145602287,0.0441387503915717
"ENSMUSG00000020703",70.8633794084798,1.00051353437083,0.366354249452606,2.73100021595427,0.00631424302685016,0.0491779621060651
