"","BCH_309","BCH_313","BCH_314","BCH_317","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","gene"
"ENSMUSG00000000001",566.965683374262,619.722002535906,586.563352827894,486.109148803796,288.359230400613,425.11667084373,547.28501440558,555.682221332808,"Gnai3"
"ENSMUSG00000000028",28.9162825764651,54.6554255437072,28.0609011383715,36.3823895154608,36.1670899146532,25.8954317265216,21.5924284894462,30.7289707649479,"Cdc45"
"ENSMUSG00000000031",21.6872119323488,2.64461736501809,11.76747467093,2.02124386197004,16.6173115824082,23.7374790826448,4.98286811294913,5.12149512749131,"H19"
"ENSMUSG00000000037",29.949006954196,16.7492433117813,13.5778553895346,18.1911947577304,7.81991133289799,10.789763219384,29.8972086776948,17.9252329462196,"Scml2"
"ENSMUSG00000000056",786.935975830944,873.605269577643,782.989660796495,644.776791968444,499.496836388859,631.201148333964,800.580810147161,966.682205313986,"Narf"
"ENSMUSG00000000058",390.369814782279,352.615648669079,500.570268694175,366.855760947563,222.867472987593,385.194546932009,431.0180917701,480.140168202311,"Cav2"
"ENSMUSG00000000078",795.197770852791,671.732810714596,778.463708999983,707.435351689515,870.942624701513,855.628223297151,809.716068354234,792.551370979281,"Klf6"
"ENSMUSG00000000085",768.346937031787,773.109809706956,704.238099537194,802.433813202107,727.251753959513,789.810667658909,766.531211375342,673.476609265108,"Scmh1"
"ENSMUSG00000000088",1365.26162736025,1248.25939628854,1607.6180781209,1718.05728267454,2483.79933711172,1923.81478201617,1628.56739491554,1414.81302896948,"Cox5a"
"ENSMUSG00000000093",25.8181094432724,38.7877213535987,37.1128047313945,19.2018166887154,54.7393793302859,42.0800765555976,35.7105548094688,32.0093445468207,"Tbx2"
"ENSMUSG00000000120",118.763303439053,80.2200600722155,102.286510601161,87.9241079956969,96.7714027446126,131.635111276485,102.979274334282,76.8224269123697,"Ngfr"
"ENSMUSG00000000125",53.7016676420066,64.3523558821069,95.9501780860444,88.9347299266819,98.7263805778371,73.3703898918112,52.3201151859659,92.1869122948437,"Wnt3"
"ENSMUSG00000000126",255.082921299532,149.861650684359,199.141879046507,183.933191439274,183.767916323103,291.323606923368,237.516713383909,175.411208116578,"Wnt9a"
"ENSMUSG00000000127",200.348529279794,269.750971231845,144.830457488369,173.826972129424,152.488270991511,179.110069441774,166.926081783796,203.57943131778,"Fer"
"ENSMUSG00000000131",1440.6505069346,1458.06570724664,1363.21668110927,1494.70983592685,1395.85417292229,1367.06299989595,1449.18414284937,1384.08405820453,"Xpo6"
"ENSMUSG00000000134",611.372831616691,585.341976790671,575.701068516267,657.914877071249,687.17470837841,621.490361436518,663.55193704106,572.327080497154,"Tfe3"
"ENSMUSG00000000142",498.805874444023,491.898829893365,412.766803841852,386.057577636278,399.792966894409,489.855250160034,445.136218090123,541.598109732207,"Axin2"
"ENSMUSG00000000148",420.318821736475,400.218761239405,369.317666595341,348.664566189833,395.88301122796,422.958718199853,416.899965450078,339.2990521963,"Brat1"
"ENSMUSG00000000149",2092.2995892828,2039.88152755062,1764.21601028019,1922.20291273351,2196.41759562772,1996.10619558604,1910.09944329717,1874.46721666182,"Gna12"
"ENSMUSG00000000167",21.6872119323488,23.8015562851628,27.1557107790692,42.4461211013709,19.549778332245,24.8164554045832,14.9486043388474,47.3738299292947,"Pih1d2"
"ENSMUSG00000000168",1494.35217457661,1598.2304275926,1664.64507075694,1668.53680805627,1087.94516418943,1394.03740794441,1639.36360916026,1683.69152316277,"Dlat"
"ENSMUSG00000000171",933.582837468731,957.35148613655,936.872021877887,963.122700228726,1211.10876768258,1135.0830906792,986.607886363928,1011.49528767953,"Sdhd"
"ENSMUSG00000000184",886.07751609311,1205.06397932658,1150.49694667323,1031.84499153571,977.488916612248,908.498063072133,1081.28238050996,1234.28032572541,"Ccnd2"
"ENSMUSG00000000194",892.273862359495,941.483781946441,958.596590501142,1060.14240560329,931.546937531473,826.495862604815,918.50868882029,975.644821787095,"Gpr107"
"ENSMUSG00000000197",1361.13072984932,1295.86250885887,1360.50111003137,1163.22584256376,664.692463296329,1179.32111987867,1351.18773662804,1431.45788813382,"Nalcn"
"ENSMUSG00000000202",381.075295382701,339.392561843989,426.344659231386,524.512782181226,544.461326553022,501.723989701356,378.697976584134,357.224285142519,"Btbd17"
"ENSMUSG00000000214",304.653691430615,510.411151448492,290.56610533604,310.260932812402,322.571342482042,257.875340943278,247.482449609807,253.51400881082,"Th"
"ENSMUSG00000000223",1182.46941250188,1279.11326554708,1039.15853247905,996.473223951231,850.415357452656,1030.42238745117,1186.75308890072,1110.08406888374,"Drp2"
"ENSMUSG00000000247",1099.85146228341,951.180712284841,1149.59175631393,1129.87531884125,906.132225699554,1222.48017275621,1165.16066041127,1076.79435055505,"Lhx2"
"ENSMUSG00000000253",680.565364924661,651.457410916123,723.247097082542,805.465678995062,1005.836095194,853.470270653274,616.214689968043,574.8878280609,"Gmpr"
"ENSMUSG00000000263",57.8325651529302,77.5754427071974,28.0609011383715,83.8816202717568,127.073559159592,36.6851949459056,14.9486043388474,33.2897183286935,"Glra1"
"ENSMUSG00000000266",387.271641649086,404.626456847768,408.24085204534,327.441505639147,184.745405239715,291.323606923368,415.239009412428,390.514003471213,"Mid2"
"ENSMUSG00000000275",128.057822838631,150.743189806031,153.882361081392,100.051571167517,122.186114576531,104.660703228025,96.3354501836832,113.953266586682,"Trim25"
"ENSMUSG00000000276",1403.47242933629,1240.32554419349,1201.18760679416,1016.68566257093,786.87857787286,1016.39569526597,1161.83874833597,1258.60742758099,"Dgke"
"ENSMUSG00000000278",345.96266653985,293.552527517008,302.33358000697,291.059116123686,242.417251319838,306.429275430506,319.734037247569,321.37381925008,"Scpep1"
"ENSMUSG00000000282",1003.80809515443,870.079113090952,957.69140014184,1023.76001608783,707.701975627268,865.339010194597,839.613277031929,914.1868802572,"Mnt"
"ENSMUSG00000000290",85.7161233516645,96.087764262324,95.9501780860444,83.8816202717568,41.0545344977144,50.7118871311048,89.6916260330844,87.0654171673524,"Itgb2"
"ENSMUSG00000000295",127.0250984609,113.718546695778,173.796548986043,147.550801923813,255.124607235797,166.162353578514,120.419312729604,110.112145241063,"Hddc2"
"ENSMUSG00000000296",406.893404825973,365.838735494169,414.577184560456,405.259394324994,385.130633145226,461.801865789635,383.680844697083,440.448580964253,"Tpd52l1"
"ENSMUSG00000000301",34.0799044651196,36.1431039885806,42.5439468872084,52.5523404112211,54.7393793302859,49.6329108091664,39.8629449035931,44.813082365549,"Pemt"
"ENSMUSG00000000303",40.276250731505,28.2092518935263,42.5439468872084,55.5842062041762,58.6493349967349,75.528342535688,52.3201151859659,64.0186890936414,"Cdh1"
"ENSMUSG00000000305",539.082125175528,622.366619900924,602.856779295336,577.065122592447,502.429303138696,517.908634530432,525.692585916134,508.308391403513,"Cdh4"
"ENSMUSG00000000308",3066.15867748303,2949.62990111685,3531.1475916383,3936.37242118666,4735.93380098634,3915.60507231445,3259.62622388756,3696.43910826686,"Ckmt1"
"ENSMUSG00000000317",17.5563144214252,59.0631211520707,18.1038071860461,22.2336824816705,30.3021564149797,32.369289658152,40.6934229224179,17.9252329462196,"Bcl6b"
"ENSMUSG00000000318",3.09817313319269,5.28923473003618,11.76747467093,22.2336824816705,16.6173115824082,5.394881609692,9.13525820707341,3.84112134561849,"Clec10a"
"ENSMUSG00000000320",7.22907064411628,9.69693033839967,10.8622843116277,11.1168412408352,8.79740024951023,7.5528342535688,19.1009944329717,7.68224269123697,"Alox12"
