"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001",614.750188391166,-0.017976149956068,0.106919385674757,-0.168128069971805,0.866482527017946,0.999725012385107
"ENSMUSG00000000028",35.0780460109876,-0.446744422299139,0.340568572277941,-1.3117605635512,0.18960093493865,0.991445290930587
"ENSMUSG00000000037",23.1763192964286,0.220996931777912,0.444872761158065,0.496764358426051,0.619355231834249,0.999725012385107
"ENSMUSG00000000056",833.398010630328,-0.0422514202689932,0.104874360994994,-0.402876545498189,0.687039046505482,0.999725012385107
"ENSMUSG00000000058",475.785799004821,0.211038669444908,0.161316947246211,1.30822379822753,0.19079741243779,0.991445290930587
"ENSMUSG00000000078",814.733951874316,0.0226508279907276,0.100475823187666,0.225435605025311,0.821640415619552,0.999725012385107
"ENSMUSG00000000085",818.929244919362,-0.0530243256608433,0.0953324475034758,-0.556204388426197,0.578071139573898,0.999725012385107
"ENSMUSG00000000088",1727.59061153176,0.170758559573354,0.118670992161355,1.43892417568379,0.150172007037071,0.977089290824851
"ENSMUSG00000000093",32.2356265537232,-0.0848726634542579,0.319817110783863,-0.265378744890282,0.790717708449615,0.999725012385107
"ENSMUSG00000000120",101.05200205829,-0.152585474327491,0.217519376655477,-0.70147991720833,0.483003563398413,0.999725012385107
"ENSMUSG00000000125",74.5883495624953,-0.326541469936126,0.258687955843285,-1.26229869833579,0.206841324912805,0.991445290930587
"ENSMUSG00000000126",231.002033000792,0.194364562473382,0.173815061393813,1.11822623951448,0.263470380259813,0.993211295874261
"ENSMUSG00000000127",223.564752466377,0.0976944631734148,0.177083594106512,0.551685567860417,0.581163799571438,0.999725012385107
"ENSMUSG00000000131",1505.55247677769,-0.134038139741915,0.0779839105909861,-1.71879223196339,0.0856522104963095,0.95391285823894
"ENSMUSG00000000134",665.570867435417,0.00283592203512509,0.0917532939400803,0.0309081223501044,0.975342812320595,0.999725012385107
"ENSMUSG00000000142",459.253494743232,-0.19224272255835,0.128889051743919,-1.49153648007515,0.135820700940036,0.975718721981762
"ENSMUSG00000000148",384.019023088865,-0.278057160312568,0.14065899044463,-1.97681754599273,0.048062257643687,0.907755941382254
"ENSMUSG00000000149",2134.91415981667,-0.00738985501672748,0.0872962571388704,-0.0846525986214018,0.932537581450737,0.999725012385107
"ENSMUSG00000000167",29.4849544404409,-0.195892823186387,0.344654758271346,-0.568374056893656,0.569781002470544,0.999725012385107
"ENSMUSG00000000168",1773.31764875961,0.0231534606549699,0.0858188290326655,0.269794646652157,0.787318241513198,0.999725012385107
"ENSMUSG00000000171",1098.47507363169,0.15932656243909,0.0971219194944554,1.64047995826715,0.100905412242897,0.957430295885311
"ENSMUSG00000000184",1223.44760582259,0.126230913661355,0.115117506421897,1.09653968006159,0.272842668356711,0.993211295874261
"ENSMUSG00000000194",1001.44233293697,-0.152607592033783,0.089231333227396,-1.71024668705644,0.0872202657256647,0.957430295885311
"ENSMUSG00000000197",1446.40322647616,0.0565462568512417,0.089500349517499,0.631799285210454,0.527518040772783,0.999725012385107
"ENSMUSG00000000202",453.6810946675,-0.0232640490459563,0.138689597180357,-0.16774184595621,0.866786374271182,0.999725012385107
"ENSMUSG00000000214",407.701963906673,0.14187503336286,0.326723584017784,0.434235666792691,0.664117315346363,0.999725012385107
"ENSMUSG00000000223",1238.92700370224,0.0183116350203512,0.140131826108768,0.130674348068069,0.896032925587812,0.999725012385107
"ENSMUSG00000000247",1211.38292424127,0.0626784661152402,0.0942490910672993,0.665029926606763,0.506031352046204,0.999725012385107
"ENSMUSG00000000253",778.719549405982,-0.0146728956723905,0.0965522112951082,-0.151968509841202,0.879211772642619,0.999725012385107
"ENSMUSG00000000263",55.676289013527,-0.633423398896533,0.317775838774787,-1.99330257875725,0.0462283242045669,0.907755941382254
"ENSMUSG00000000266",419.460997942019,0.00754191904625759,0.124414100980755,0.0606194875565125,0.95166225323871,0.999725012385107
"ENSMUSG00000000275",126.484179631257,-0.447534841845117,0.187110021526728,-2.39182721584578,0.0167647326163368,0.878207845819299
"ENSMUSG00000000276",1307.11547356589,-0.0525492975830416,0.108230820463824,-0.485529882872929,0.627300520519515,0.999725012385107
"ENSMUSG00000000278",334.793555727288,-0.0212633995812888,0.128675151771728,-0.165248684680088,0.868748247121506,0.999725012385107
"ENSMUSG00000000282",1000.97549929272,-0.15530438008121,0.105657311619066,-1.46988767460922,0.141592178268411,0.977089290824851
"ENSMUSG00000000290",107.6650822626,0.230786874914101,0.168229476216522,1.37185753712425,0.170107791499255,0.984122199941719
"ENSMUSG00000000295",152.303843734278,-0.030510297274447,0.172555346575492,-0.176814557647444,0.859654053872367,0.999725012385107
"ENSMUSG00000000296",428.058531753655,-0.0534644427686708,0.11694887450626,-0.45716081488077,0.647555461069235,0.999725012385107
"ENSMUSG00000000301",42.5823113660894,-0.176683701771987,0.266253797647642,-0.663591292717667,0.506951931727765,0.999725012385107
"ENSMUSG00000000303",51.4511548127239,0.334486678165371,0.268356522920769,1.24642648714049,0.21260786213757,0.991445290930587
"ENSMUSG00000000305",627.735594135949,-0.0609128268133103,0.0964245224296868,-0.631715099836022,0.527573059371021,0.999725012385107
"ENSMUSG00000000308",3762.00607943923,0.055238768901105,0.108290635931037,0.510097372927821,0.609983245597355,0.999725012385107
"ENSMUSG00000000317",37.9791743204762,0.451016050584137,0.391502426912534,1.15201342209023,0.249315557892162,0.993211295874261
"ENSMUSG00000000318",12.0388402533653,0.106029345741906,0.649357835825355,0.16328338535738,0.870295314904551,0.999725012385107
"ENSMUSG00000000320",15.2300401034684,0.889786802978972,0.476174617056052,1.86861451893441,0.0616764643255174,0.925139211283538
"ENSMUSG00000000326",1254.3579271501,0.0441375321646067,0.0927336176545956,0.475960426012986,0.634102571702465,0.999725012385107
"ENSMUSG00000000339",846.790367427692,0.0959466817962631,0.110166887257825,0.870921237628485,0.383797159871855,0.999725012385107
"ENSMUSG00000000340",310.022413219676,-0.0961138769769073,0.127942392521578,-0.751227760264817,0.452515596137866,0.999725012385107
"ENSMUSG00000000346",2043.19265715694,0.101233998057616,0.0760009569592726,1.33200951814153,0.182857060841204,0.989275003543808
"ENSMUSG00000000355",430.334512620061,0.165985315282562,0.122001456770003,1.3605191255665,0.17366570481072,0.984122199941719
"ENSMUSG00000000365",16.4342060896318,0.343549653383414,0.547683310499975,0.627277930141401,0.530477067621128,0.999725012385107
"ENSMUSG00000000374",1591.71345098227,-0.111399544833057,0.0903244454708155,-1.23332663989674,0.217453922662819,0.991445290930587
"ENSMUSG00000000378",1026.74727923142,0.0597384880988564,0.0984771041473892,0.606623119313569,0.544101053742287,0.999725012385107
"ENSMUSG00000000384",651.660312009865,-0.102378270694088,0.107970346317557,-0.948207301224903,0.343023930950365,0.998636650087343
"ENSMUSG00000000392",46.0364136448242,0.316649808481101,0.259127317768589,1.22198543637874,0.221713134439613,0.992222553194587
"ENSMUSG00000000399",2276.95319514051,0.0613847904490291,0.102925486154971,0.596400296391164,0.550907842515937,0.999725012385107
"ENSMUSG00000000402",47.5758330024395,-0.211082959851131,0.286035812242648,-0.737959901580667,0.460538816339724,0.999725012385107
"ENSMUSG00000000409",40.2016354140412,0.348039966694393,0.331316054591546,1.05047721615382,0.293498760778802,0.996318584476724
"ENSMUSG00000000416",2009.72079040308,0.0703000091763872,0.146253124458854,0.480673554404404,0.630748529481616,0.999725012385107
"ENSMUSG00000000420",851.582703270855,0.102442818957709,0.105919989610873,0.967171723997154,0.333458194990775,0.997941471099911
"ENSMUSG00000000439",498.690551746852,0.0591826019998643,0.104871149172597,0.564336354343384,0.572525244560091,0.999725012385107
"ENSMUSG00000000440",64.7955033851042,0.0624978296335061,0.24588042149305,0.25417977264722,0.799356676635465,0.999725012385107
"ENSMUSG00000000441",674.415861221682,-0.0571109911833939,0.141566357959167,-0.403422055965209,0.686637763892076,0.999725012385107
"ENSMUSG00000000486",48.4078962985745,-0.0703090716701568,0.283940293272391,-0.247619211982385,0.804429044564713,0.999725012385107
"ENSMUSG00000000489",542.550174287269,-0.055895020021426,0.108828366701465,-0.513607083479953,0.60752672615535,0.999725012385107
"ENSMUSG00000000530",221.094827984371,-0.062408419103496,0.153057929691633,-0.407743781908135,0.683461790735542,0.999725012385107
"ENSMUSG00000000531",997.575556753988,-0.0678418432281529,0.101956704452297,-0.665398549242974,0.505795612610825,0.999725012385107
"ENSMUSG00000000532",2086.67506492823,-0.0982888313438824,0.0746386233889102,-1.3168628637715,0.18788459641287,0.991445290930587
"ENSMUSG00000000538",5430.61813605063,-0.0116967635855975,0.0697078597409716,-0.167796911697787,0.866743052160767,0.999725012385107
"ENSMUSG00000000552",1926.69005929208,-0.13131970441809,0.102021764353264,-1.28717343059642,0.198033845787902,0.991445290930587
"ENSMUSG00000000555",123.350406178761,-0.319271007322648,0.166709270441871,-1.91513649166842,0.0554750991064663,0.914351019167361
