"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000002831",130.788541280721,-1.86640659124861,0.372601247061004,-5.00912599184897,5.46777715098584e-07,0.00323510148099996
"ENSMUSG00000019787",64.2947563257332,-1.55221868349497,0.363120813357283,-4.27466183814615,1.91427614828212e-05,0.0268367711642336
"ENSMUSG00000021250",714.646342259318,1.05637843266168,0.238816716969495,4.42338562420071,9.71660821742886e-06,0.0211612322459911
"ENSMUSG00000022602",3353.16886487539,1.05812498600365,0.255437515433737,4.14240243531547,3.43686588641293e-05,0.035884923225782
"ENSMUSG00000024190",782.492268000175,1.11315023294286,0.248850984370357,4.47315985411652,7.70721160271325e-06,0.0195432865640229
"ENSMUSG00000024598",82.3753952078204,-1.03818030123403,0.249957753841055,-4.15342306962078,3.27538361229121e-05,0.035884923225782
"ENSMUSG00000030711",200.623193370686,-1.4319698688186,0.283002759342071,-5.05991486495634,4.19443714691133e-07,0.00323510148099996
"ENSMUSG00000032446",189.192060495371,-1.07279451433492,0.243710506558395,-4.40192148251872,1.07296388852913e-05,0.0211612322459911
"ENSMUSG00000037341",51.4959597865591,1.78288524813268,0.408873157800961,4.36048494286481,1.29774512385728e-05,0.0230349759484668
"ENSMUSG00000084978",60.7713020064057,-2.56563058098237,0.591743833456374,-4.33571156288445,1.45289357717403e-05,0.0234444190862174
"ENSMUSG00000091288",29.4062546490204,-2.85240118670795,0.593774382605614,-4.80384683184037,1.55645912611117e-06,0.00552542989769465
"ENSMUSG00000103456",26.4721336622677,-2.29494363214002,0.53761198612153,-4.26877318844084,1.96551000076077e-05,0.0268367711642336
"ENSMUSG00000107606",33.5572631923463,-1.97394840859526,0.423730456159387,-4.65850018544042,3.18521519888731e-06,0.0094229282967083
"ENSMUSG00000108219",21.4144424214573,-2.82226920602023,0.673376364936377,-4.19122106592929,2.77457150895662e-05,0.0328324295226533
