"","BInt_390","BInt_391","BInt_392","BInt_398","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","gene"
"ENSMUSG00000000001",424.27209649747,256.610684314206,459.550580029869,344.161833410742,280.002848579906,412.174471315453,532.340251086687,543.446287491435,"Gnai3"
"ENSMUSG00000000028",37.6915985498891,19.0552488352133,31.6385941500771,22.2351746304693,35.1190013473103,25.1070743948499,21.0028020155597,30.0523292621992,"Cdc45"
"ENSMUSG00000000037",11.5974149384274,26.6773483692987,12.6554376600308,10.6342139537027,7.59329758860763,10.4612809978541,29.080802790775,17.5305254029495,"Scml2"
"ENSMUSG00000000056",662.019102735232,259.151384158901,552.884432772596,537.511178023519,485.021883472312,611.984938374467,778.719274730752,945.396191373349,"Narf"
"ENSMUSG00000000058",282.203763501734,292.180482139938,448.477072077342,354.796047364445,216.408981275317,373.467731623393,419.248240233673,469.567644721862,"Cav2"
"ENSMUSG00000000078",685.213932612087,1297.02727071685,783.846170068159,975.447443571458,845.703518931174,829.579583129833,787.605075583489,775.099658887553,"Klf6"
"ENSMUSG00000000085",783.79195958872,437.000373287559,499.889787571217,645.786811006674,706.176675740509,765.765769042923,745.59947155237,658.646882996532,"Scmh1"
"ENSMUSG00000000088",1431.31429365092,3287.66559903548,1770.17934269681,2189.68132773969,2411.8211465815,1865.24640191739,1584.09595201972,1383.65932644709,"Cox5a"
"ENSMUSG00000000093",32.8593423255444,30.4883981363413,19.7741213437982,37.7031221994914,53.1530831202534,40.7989958916311,34.7354033334257,31.3045096481241,"Tbx2"
"ENSMUSG00000000120",81.1819045689919,40.6511975151218,43.503066956356,102.475152644772,93.9670576590194,127.62762817382,100.167209612669,75.1308231554979,"Ngfr"
"ENSMUSG00000000125",62.8193309164818,109.25009332189,64.068153153906,59.9382968299607,95.8653820561713,71.1367107854081,50.8914048838562,90.1569877865975,"Wnt3"
"ENSMUSG00000000126",209.719920136562,94.0058942537191,158.192970750385,157.579715859413,178.442493332279,282.454586942062,231.030822171157,171.54871287172,"Wnt9a"
"ENSMUSG00000000127",148.833491709819,96.5465940984143,182.712881216695,133.411047782816,148.069302977849,173.657264564379,162.367815581827,199.096681362069,"Fer"
