"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001",498.781097454557,0.545542779551482,0.186647971016333,2.92284334290322,0.00346850977645006,0.0534967342673562
"ENSMUSG00000000028",29.4636184843322,-0.0749495275186256,0.37785404085533,-0.198355765493379,0.842766723784743,0.917120809465547
"ENSMUSG00000000037",20.4317929658627,0.547206434398605,0.503220663358302,1.0874085152759,0.276856309580283,0.493789446779101
"ENSMUSG00000000056",672.701671422665,0.535606298108182,0.231348353153855,2.31515068426696,0.0206046870572806,0.120500128129596
"ENSMUSG00000000058",435.577632922028,0.396498454210869,0.207040045087972,1.91508098852275,0.0554821759473295,0.197739323982718
"ENSMUSG00000000078",908.056833176629,-0.355426943049864,0.194244755361662,-1.82978913581527,0.067281475977362,0.220688482417131
"ENSMUSG00000000085",712.391476008703,0.271086728137389,0.18899216179097,1.43438079954457,0.151463623823033,0.350139574996667
"ENSMUSG00000000088",2070.06935166614,-0.413829483065719,0.224023091755144,-1.84726261843593,0.0647090879032418,0.216173184407632
"ENSMUSG00000000093",31.6890401049237,-0.106680174122499,0.333712648975493,-0.31967674719556,0.74921338858448,0.866170030064207
"ENSMUSG00000000120",82.8394975006305,0.34291983958981,0.321848551225165,1.0654695765584,0.286663485966727,0.504559791053207
"ENSMUSG00000000125",72.5045396942043,-0.321495772715214,0.290969913647121,-1.10491070600898,0.269198282940271,0.486751190928477
"ENSMUSG00000000126",203.929425932826,0.494694648248119,0.233275377004078,2.12064665633129,0.0339515487025357,0.153944092696179
"ENSMUSG00000000127",188.678616545303,0.541282860587715,0.204269547047745,2.649846090182,0.00805284465587201,0.0766505040129423
"ENSMUSG00000000131",1405.98898209707,-0.0286192644169245,0.131783021331797,-0.217169587764028,0.828076184541863,0.908712895059936
"ENSMUSG00000000134",635.929797764248,0.045290061077584,0.130163130719558,0.347948461497622,0.727878889499582,0.853023320324275
"ENSMUSG00000000142",360.708089689807,0.440699455209948,0.246106084013119,1.79068899079494,0.073343217368886,0.231490766275613
"ENSMUSG00000000148",338.048357191696,-0.0146502334124964,0.206703283685924,-0.0708756685005391,0.943496708388339,0.970479033382099
"ENSMUSG00000000149",1924.97811564232,0.210950330742686,0.132579224895183,1.59112659550893,0.111581088294278,0.292634334564445
"ENSMUSG00000000154",11.2835723457634,-0.501424855719021,0.56845793283011,-0.882079089340244,0.377734039282,NA
"ENSMUSG00000000167",24.7282054599856,0.219553782046498,0.377747483753588,0.581218383944862,0.561093278979135,0.741233946854275
"ENSMUSG00000000168",1620.10321732142,0.2025171117546,0.128552239044418,1.57536821808779,0.11517147597074,0.298507050537274
"ENSMUSG00000000171",1172.13472210367,-0.118076002345799,0.146076237222127,-0.808317660635313,0.418907738398764,0.627200257986446
"ENSMUSG00000000184",1305.34177552158,-0.145319227751483,0.176077393231272,-0.825314511333155,0.409193055364522,0.618752541021396
"ENSMUSG00000000194",906.927524006488,0.0410188548091993,0.122475552438499,0.334914633920895,0.737689482716469,0.858160511707282
"ENSMUSG00000000197",1179.86315638206,0.61995381666967,0.161934732736774,3.82841782113175,0.000128969678976713,0.0133157400317604
"ENSMUSG00000000202",473.621013520749,-0.22383775514,0.179674394348463,-1.24579663090939,0.21283906678466,0.424951803003567
"ENSMUSG00000000214",457.102279350782,-0.268968732986724,0.228763120329512,-1.17575216057247,0.239693928302745,0.456698635428764
"ENSMUSG00000000223",1093.1068397134,0.306730999346637,0.190570480009339,1.60954099150931,0.107498099256808,0.286096533457999
"ENSMUSG00000000247",1128.52122081605,0.183477122505267,0.168919551808932,1.08618049562908,0.277399144695072,0.494555114182624
"ENSMUSG00000000253",955.925880013047,-0.626254393227152,0.218383097721727,-2.86768710472801,0.00413484234480093,0.0575077280791965
"ENSMUSG00000000263",67.9131333927967,-1.13541124035748,0.356901249990083,-3.18130362499159,0.00146613882556847,0.0362516198271251
"ENSMUSG00000000266",341.705422595123,0.563927600795848,0.249238992610974,2.2625978178144,0.0236604927780683,0.127741850969054
"ENSMUSG00000000275",96.7013029878399,0.217292467313868,0.213596915753535,1.0173015211727,0.309010013189215,0.52647483512882
"ENSMUSG00000000276",1124.99908667951,0.306663568218453,0.163670771186627,1.8736611674468,0.0609771414623841,0.208589122383116
"ENSMUSG00000000278",283.025972751154,0.396802968513591,0.181404065226776,2.18739843573815,0.0287134502755956,0.141249573777257
"ENSMUSG00000000282",779.660053783765,0.517350035458605,0.204171396114523,2.53390066044519,0.0112800704521814,0.0908617698837489
"ENSMUSG00000000290",87.5514636270999,0.841322325701521,0.267680960784902,3.143003982183,0.00167223565004969,0.0383674250061073
"ENSMUSG00000000295",222.866498602361,-1.03038829839408,0.282340154275457,-3.64945716289725,0.000262795056864216,0.0192994930463628
"ENSMUSG00000000296",432.361814007717,-0.168535159267839,0.178054306125396,-0.946537957633818,0.34387427153316,0.558032656615202
"ENSMUSG00000000301",44.8641415140702,-0.384482587560767,0.285529355861015,-1.34656062386776,0.178121783089113,0.383418388126086
"ENSMUSG00000000303",47.958184503535,0.458870457163097,0.326805064557797,1.40411060576432,0.160285915907539,0.361853298929754
"ENSMUSG00000000305",580.563230084008,0.0785526284566573,0.136407308618076,0.575868179296721,0.564704285332282,0.743283810735074
"ENSMUSG00000000308",4125.06930277433,-0.284901815352499,0.150126689906806,-1.8977426034595,0.0577299974139037,0.202291258656186
"ENSMUSG00000000317",31.4181293531946,1.07309593752346,0.348872407082648,3.07589799519239,0.00209869629541038,0.0426803602092434
"ENSMUSG00000000318",14.1107213344794,-0.402180591945625,0.571082742482778,-0.704242243772151,0.481281927539159,0.67920334709017
"ENSMUSG00000000320",17.7359700069973,0.22485836445458,0.558783806991024,0.402406729832441,0.687384718009142,0.828809271862091
"ENSMUSG00000000326",1343.92747807535,-0.233527572017909,0.121412858694649,-1.9234171283721,0.054427684927773,0.196163188060015
"ENSMUSG00000000339",970.193801150318,-0.362920347717804,0.152830687162741,-2.37465625821174,0.0175652996553926,0.111702544577159
"ENSMUSG00000000340",321.967370270059,-0.276708001371,0.153336441586023,-1.80458081920313,0.0711403017868803,0.227971721096045
"ENSMUSG00000000346",1941.8779346693,0.161821267933109,0.149589098191978,1.08177179947588,0.279353940291522,0.496428101649974
"ENSMUSG00000000355",481.446766221638,-0.239684159192034,0.158426964870864,-1.5129000254938,0.130305055447922,0.32140149076798
