"","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000000001",301.221803587578,445.204627163145,574.93176208095,582.323047993293,616.719477129418,613.110933597693,537.890401939964,585.289022818326,"Gnai3"
"ENSMUSG00000000028",37.7803618058996,27.1190635835418,22.6831954690511,32.2021962023941,37.3230807484662,35.9691747710647,20.9074007821187,19.9757345671784,"Cdc45"
"ENSMUSG00000000037",8.16872687695126,11.2996098264758,31.4075014186862,18.7846144513965,42.6549494268185,21.25451236472,21.857737181306,9.98786728358918,"Scml2"
"ENSMUSG00000000056",521.777429265262,661.027174848832,841.023093544819,1013.02742220031,782.007406158339,816.663763552127,794.481229720512,770.064567564726,"Narf"
"ENSMUSG00000000058",232.808715993111,403.396070805185,452.791478786059,503.159315662407,422.106270369558,421.820322315213,467.56550840011,655.20409380345,"Cav2"
"ENSMUSG00000000078",909.791955920447,896.059059239528,850.619830089418,830.548310386747,848.655764637743,727.558307869262,748.865082559526,836.983278364773,"Klf6"
"ENSMUSG00000000085",759.691599556467,827.131439298026,805.253439151315,705.76480010247,802.446236092023,846.093088364816,730.808690974969,715.131297504985,"Scmh1"
"ENSMUSG00000000088",2594.59187429164,2014.72043206063,1710.83639672343,1482.64278348523,1729.3027413456,1570.38147125489,1706.80417294024,2039.52249930891,"Cox5a"
"ENSMUSG00000000093",57.1810881386588,44.0684783232555,37.5145155834307,33.5439543774938,24.8820538323108,33.5167310366739,29.4604283748037,32.9599620358443,"Tbx2"
"ENSMUSG00000000120",101.087995102272,137.855239883004,108.181393775475,80.5054905059852,88.8644779725386,118.534780495554,64.6228751447307,95.8835259224561,"Ngfr"
"ENSMUSG00000000125",103.13017682151,76.8373468200352,54.9631274827008,96.6065886071822,79.0893853955593,44.1439872190339,55.1195111528585,76.9065780836367,"Wnt3"
"ENSMUSG00000000126",191.965081608355,305.089465314846,249.515150159562,183.820869988666,222.161194931346,280.396066965345,247.087463788676,198.758558943425,"Wnt9a"
"ENSMUSG00000000127",159.29017410055,187.573523119498,175.358549587665,213.339549840861,235.490866627227,228.894748543139,207.173335022813,218.734293510603,"Fer"
"ENSMUSG00000000131",1458.1177475358,1431.66056501448,1522.39138821132,1450.44058728283,1414.72248932281,1422.41736594665,1406.49787079708,1284.43973266957,"Xpo6"
"ENSMUSG00000000134",717.826874312092,650.857526005004,697.072045375841,599.76590426959,639.824241402278,674.422026957462,630.073032661124,620.246558310888,"Tfe3"
"ENSMUSG00000000142",417.626161584133,513.002286122,467.622798900439,567.563708067195,438.101876404615,429.995134763182,440.956089222868,341.58506109875,"Axin2"
"ENSMUSG00000000148",413.541798145658,442.94470519785,437.96015867168,355.565916401434,361.678425348232,383.398703809757,341.17076730821,249.696682089729,"Brat1"
"ENSMUSG00000000149",2294.39116156369,2090.42781789802,2006.59036841606,1964.33396834604,1907.9203420704,2092.75198668012,2004.25946588584,2195.3332289329,"Gna12"
"ENSMUSG00000000167",20.4218171923782,25.9891026008942,15.7037507093431,49.6450524786909,16.8842508147823,29.4293248126893,27.5597555764293,31.9611753074854,"Pih1d2"
"ENSMUSG00000000168",1136.47412675584,1459.90958958067,1722.17799445796,1764.41200025617,1697.31152927549,1593.2709461092,1688.74778135568,1905.68507770881,"Dlat"
"ENSMUSG00000000171",1265.13157506783,1188.71895374525,1036.44754681664,1059.9889583288,1102.8081716392,1054.55080578803,1011.1579287352,1295.42638668152,"Sdhd"
"ENSMUSG00000000184",1021.09085961891,951.427147389259,1135.90463464248,1293.45488079616,1104.58546119865,1186.16528620034,1408.39854359545,1220.5173820546,"Ccnd2"
"ENSMUSG00000000194",973.099589216819,865.550112708043,964.908238029637,1022.41972942601,951.738559085888,905.769219234992,856.253095667682,938.859524657383,"Gpr107"
"ENSMUSG00000000197",694.341784540857,1235.0473540338,1419.44457800562,1500.08563976152,1445.8250566132,1504.98297167114,1435.95829917188,1292.43002649644,"Nalcn"
"ENSMUSG00000000202",568.747608807732,525.431856931123,397.828351303358,374.350530852831,391.892347858895,414.46299111204,456.161471609864,470.42854905705,"Btbd17"
"ENSMUSG00000000214",336.95998367424,270.060674852771,259.984317299125,265.668118669751,549.182473870288,227.259786053545,465.664835601736,405.507411713721,"Th"
"ENSMUSG00000000223",888.34904786845,1079.11273842844,1246.70332020285,1163.30433781149,1236.10488859801,1295.70777300312,1405.54753439789,864.949306758823,"Drp2"
"ENSMUSG00000000247",946.551226866727,1280.2457933397,1224.0201247338,1128.41862525889,1107.25139553783,1265.46096694564,1252.54337412875,1140.61444378588,"Lhx2"
"ENSMUSG00000000253",1050.70249454786,893.799137274233,647.343501462921,602.449420619789,752.682128427401,781.512070025859,738.411382168467,710.13736386319,"Gmpr"
"ENSMUSG00000000263",132.741811750458,38.4186734100176,15.7037507093431,34.8857125525936,37.3230807484662,36.7866560158616,56.0698475520457,37.9538956776389,"Glra1"
"ENSMUSG00000000266",192.986172467974,305.089465314846,436.215297481753,409.236243405425,341.239595414548,426.725209783994,403.892969654567,448.455241033154,"Mid2"
"ENSMUSG00000000275",127.636357452363,109.606215316815,101.201949015767,119.416477583878,104.860084007595,97.280268130834,121.643059095964,88.8920188239437,"Trim25"
"ENSMUSG00000000276",821.978141993221,1064.42324565402,1220.53040235394,1318.94828612306,1230.77301991966,1317.77976661264,1269.64942931412,1123.63506940378,"Dgke"
"ENSMUSG00000000278",253.230533185489,320.908919071912,335.88577906095,336.781301950038,289.698198190476,380.12877883057,299.355965743973,309.623885791264,"Scpep1"
"ENSMUSG00000000282",739.269782364089,906.228708083356,882.027331508104,958.015337021223,893.976648403738,1060.27317450161,886.663860441672,805.022103057288,"Mnt"
"ENSMUSG00000000290",42.8858161039941,53.1081661844361,94.2225042560586,91.2395559067832,110.191952685948,114.447374271569,104.537003910594,118.855620674711,"Itgb2"
"ENSMUSG00000000295",266.504714360535,174.013991327727,126.502436269708,115.391203058579,136.851296077709,130.796999167508,167.25920625695,145.822862340402,"Hddc2"
"ENSMUSG00000000296",402.30979868985,483.623300573163,403.062934873139,461.564812234315,454.986127219397,351.516935262677,381.084896074074,430.477079922694,"Tpd52l1"
"ENSMUSG00000000301",57.1810881386588,51.9782052017885,41.8766685582483,46.9615361284913,43.5435942065439,40.0565809950493,34.2121103707398,35.956322220921,"Pemt"
"ENSMUSG00000000303",61.2654515771345,79.0972687853303,54.9631274827008,67.0879087549876,56.8732659024247,58.0411683805816,41.8148015642375,63.9223506149707,"Cdh1"
"ENSMUSG00000000305",524.840701844118,542.381271670836,552.248566611899,532.677995514602,583.839620279578,593.491383722567,639.576396652996,550.331487325764,"Cdh4"
"ENSMUSG00000000308",4947.18521485361,4100.62840602805,3424.29008523176,3873.65585151299,3364.40913604031,3591.19510839289,3620.78168090329,4187.91275200894,"Ckmt1"
"ENSMUSG00000000317",31.6538166481861,33.8988294794273,42.7490991532118,18.7846144513965,39.100370307917,54.7712434013939,30.4107647739909,44.9454027761513,"Bcl6b"
"ENSMUSG00000000318",17.3585446135214,5.64980491323788,9.59673654459856,4.02527452529926,10.6637373567046,10.62725618236,3.80134559674886,22.9720947522551,"Clec10a"
"ENSMUSG00000000320",9.18981773657017,7.90972687853303,20.0659036841606,8.05054905059852,29.3252777309377,8.99229369276616,19.0067279837443,18.9769478388194,"Alox12"
"ENSMUSG00000000326",1604.1337404613,1318.66446674972,1279.85568281146,1345.78344962505,1236.99353337774,1182.89536122115,1180.31780779052,1303.41668050839,"Comt"
"ENSMUSG00000000339",1131.36867245775,866.680073690691,904.710526977155,783.586774258256,907.306320099619,735.733120317232,904.72025202623,822.001477439389,"Rtca"
"ENSMUSG00000000340",212.386898800733,282.490245661894,315.819875376789,356.907674576534,289.698198190476,276.30866074136,298.405629344786,290.646937952445,"Dbt"
"ENSMUSG00000000346",1504.06683621865,1745.7897181905,1783.2481361054,1899.92957594125,1973.68005577008,2041.25066825792,2007.1104750834,2122.4217977627,"Dazap2"
"ENSMUSG00000000355",511.566520669073,410.17583670107,504.264883888906,409.236243405425,454.097482439672,389.938553768133,427.651379634247,481.415203068998,"Mcts1"
"ENSMUSG00000000365",13.2741811750458,30.5089465314846,42.7490991532118,14.7593399260973,20.4388299336839,27.7943623230954,13.304709588621,8.98908055523026,"Rnf17"
"ENSMUSG00000000374",1100.73594666918,1433.92048697977,1556.41618141489,1534.97135231412,1436.93860881595,1609.62057100514,1476.82276433693,1369.33660458008,"Trappc10"
"ENSMUSG00000000378",1302.91193687373,1059.90340172343,979.739558144016,1133.78565795929,875.315108029505,998.144599897044,1027.31364752138,1135.62051014409,"Ccm2"
"ENSMUSG00000000384",674.941058208098,679.106550571193,650.833223842775,637.335133172382,655.819847437334,632.730483472819,580.655539903389,550.331487325764,"Tbrg4"
"ENSMUSG00000000392",29.6116349289483,30.5089465314846,32.2799320136497,29.5186798521946,40.8776598673677,48.2313934430185,63.6725387455435,43.9466160477924,"Fap"
"ENSMUSG00000000399",2519.03115067985,2128.84649130803,2231.67746191665,2262.20428321818,2122.97237876395,2149.15819257111,2104.99512419968,2577.86854589437,"Ndufa9"
"ENSMUSG00000000402",41.8647252443752,37.28871242737,32.2799320136497,38.9109870778928,39.9890150876424,38.4216185054554,62.7222023463562,28.9648151224086,"Egfl6"
"ENSMUSG00000000409",59.2232698578966,25.9891026008942,45.3663909381023,33.5439543774938,60.4278450213262,51.5013184222062,37.0631195683014,23.970881480614,"Lck"
"ENSMUSG00000000416",1407.06320455485,1776.29866472199,1931.5613372492,2071.67462235402,2102.53354883026,2163.87285497746,2213.33347370703,1450.23832957715,"Cttnbp2"
"ENSMUSG00000000420",604.485788894393,715.265302015916,759.01461761825,743.334029005263,851.321698976919,728.375789114059,872.408814453864,944.852245027536,"Galnt1"
"ENSMUSG00000000439",418.647252443752,551.420959532017,579.293915055767,480.349426685711,450.54290332077,492.123709367748,487.522572783042,530.355752758585,"Mkrn2"
"ENSMUSG00000000440",45.9490886828508,72.3175028894449,83.7533371164965,72.4549414553866,74.6461614969324,67.0334620733478,58.9208567496074,53.9344833313815,"Pparg"
"ENSMUSG00000000441",551.38906419421,693.796043345612,616.808430639198,640.018649522582,723.356850696464,712.026164218121,660.483797435115,449.454027761513,"Raf1"
"ENSMUSG00000000486",101.087995102272,61.0178930629691,43.6215297481753,40.2527452529926,40.8776598673677,51.5013184222062,49.4174927577352,39.9514691343567,"Septin1"
"ENSMUSG00000000489",469.701795424698,494.922910399638,549.631274827008,568.905466242295,544.739249971661,541.99006530036,528.387037948092,433.47344010777,"Pdgfb"
"ENSMUSG00000000530",294.074167570245,186.44356213685,177.975841372555,161.01098101197,197.279141099036,219.084973605576,217.627035413872,198.758558943425,"Acvrl1"
"ENSMUSG00000000531",1074.18758431909,1088.15242628962,962.290946244746,935.205448044528,1008.61182498831,930.293656578899,1010.20759233601,802.025742872211,"Tamalin"
"ENSMUSG00000000532",1174.25448856174,1796.63796240965,2011.82495198584,1873.09441243925,1896.36795993397,2039.61570576833,1876.91438839475,1948.63290702825,"Acvr1b"
"ENSMUSG00000000538",4868.56121866295,5093.86410977527,5167.40641396884,5057.08656195097,5055.50015185772,5413.36080304523,5072.89569886136,5286.57815320375,"Tom1l2"
"ENSMUSG00000000552",2685.46896079773,2175.17489159658,1664.59757519037,1631.5779409213,1702.64339795384,1769.02941374054,1711.55585493618,1898.6935706103,"Zfp385a"
"ENSMUSG00000000555",142.952720346647,145.764966761537,150.930492928686,81.8472486810849,122.632979602103,94.8278243964432,100.735658313845,104.872606477686,"Itga5"
"ENSMUSG00000000560",1435.65374862418,1240.69715894704,1374.07818706752,1290.77136444596,1627.10859167718,1388.08315366518,1526.24025709467,1854.74695456251,"Gabra2"
