"","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","BPFC_384","BPFC_385","BPFC_386","BPFC_387"
"ENSMUSG00000104478",0,0,0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0,0,0
"ENSMUSG00000101231",0,0,0,0,0,0,0,0
"ENSMUSG00000102135",0,1,3,0,2,0,1,0
"ENSMUSG00000103282",0,0,0,0,0,0,0,0
"ENSMUSG00000101097",0,0,0,0,0,0,0,0
"ENSMUSG00000100764",7,3,10,1,2,2,4,1
"ENSMUSG00000102534",0,0,0,0,0,0,0,0
"ENSMUSG00000100831",0,0,0,0,0,0,0,0
"ENSMUSG00000100884",0,0,0,0,0,0,0,0
"ENSMUSG00000100635",1,1,5,0,0,11,0,5
"ENSMUSG00000102213",0,0,0,0,0,0,0,0
"ENSMUSG00000100480",10,5,11,7,20,14,8,7
"ENSMUSG00000089037",0,0,0,0,0,0,0,0
"ENSMUSG00000103629",0,0,0,0,0,0,0,0
"ENSMUSG00002076531",0,0,0,0,0,0,0,0
"ENSMUSG00000100025",0,1,0,3,0,1,2,1
"ENSMUSG00000051285",1268,1156,1804,1249,2031,2230,2005,1908
"ENSMUSG00000098201",0,0,0,0,0,0,0,0
"ENSMUSG00000103509",7,9,16,24,24,39,7,19
"ENSMUSG00000048538",1,4,3,0,0,1,0,2
"ENSMUSG00000103709",0,0,0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0,0,0
"ENSMUSG00000097797",28,33,45,16,25,34,43,44
"ENSMUSG00000103498",0,0,0,0,0,0,0,0
"ENSMUSG00000103067",0,0,0,0,0,0,0,0
"ENSMUSG00000102320",0,0,0,0,0,0,0,0
"ENSMUSG00000104226",0,0,1,0,0,0,0,0
"ENSMUSG00000103903",0,0,0,0,0,0,0,0
"ENSMUSG00000103557",0,0,0,0,0,0,0,0
"ENSMUSG00000026312",189,172,291,187,285,341,282,234
"ENSMUSG00000100290",0,0,0,0,0,0,0,0
"ENSMUSG00000100758",0,0,0,0,0,0,0,0
"ENSMUSG00000099926",0,0,0,0,0,0,0,0
"ENSMUSG00000039748",5,10,11,2,9,11,9,11
"ENSMUSG00000118715",0,0,0,0,0,0,0,1
"ENSMUSG00000104158",0,2,0,0,0,0,0,0
"ENSMUSG00000103540",5,5,1,0,3,3,2,0
"ENSMUSG00000057363",955,904,1310,797,1189,1266,1179,1026
"ENSMUSG00000047216",59,97,157,110,189,155,136,183
"ENSMUSG00000102788",0,0,0,4,1,3,0,0
"ENSMUSG00000102160",12,2,3,2,1,1,1,1
"ENSMUSG00000101253",4,1,2,0,7,3,3,1
"ENSMUSG00000101846",0,0,0,7,0,3,1,0
"ENSMUSG00000090243",0,0,1,0,0,0,0,0
"ENSMUSG00000100701",2,3,1,0,1,2,4,0
"ENSMUSG00000100555",102,43,90,32,88,78,55,87
"ENSMUSG00000101395",0,0,0,0,0,0,0,0
"ENSMUSG00000102728",0,0,0,0,0,0,2,0
"ENSMUSG00000088848",0,0,0,0,0,0,0,0
"ENSMUSG00002075225",0,0,0,0,0,0,0,0
"ENSMUSG00000038702",104,165,249,219,236,272,210,263
"ENSMUSG00000101875",0,0,0,0,0,0,0,0
"ENSMUSG00000099732",0,0,0,0,0,0,0,0
"ENSMUSG00000101220",0,0,0,0,0,0,0,0
"ENSMUSG00000100020",0,0,0,0,0,0,0,0
"ENSMUSG00000101054",3,6,2,5,1,3,14,4
"ENSMUSG00000088691",0,0,0,0,0,0,0,0
"ENSMUSG00000099884",0,0,0,0,0,0,0,0
"ENSMUSG00000100304",0,0,0,0,0,0,0,0
"ENSMUSG00000101453",0,0,0,0,0,0,0,0
"ENSMUSG00000102105",0,0,1,0,0,0,0,0
"ENSMUSG00000099943",0,0,0,0,0,0,0,0
"ENSMUSG00002075119",0,0,0,0,0,0,0,0
"ENSMUSG00000097648",0,3,3,8,2,0,1,0
"ENSMUSG00000101687",0,0,0,0,0,0,0,0
"ENSMUSG00000055214",264,119,225,153,145,206,169,171
"ENSMUSG00000078184",15,5,2,5,11,6,1,6
"ENSMUSG00000104363",7,1,2,0,0,3,2,1
"ENSMUSG00000103277",2,0,0,0,5,0,0,1
"ENSMUSG00000104157",12,16,18,10,31,29,16,8
"ENSMUSG00000102446",0,0,0,0,0,0,0,0
"ENSMUSG00000104248",0,0,0,0,0,0,0,0
"ENSMUSG00000104021",0,0,0,0,0,0,0,0
"ENSMUSG00000103471",0,0,0,0,0,0,0,0
"ENSMUSG00000087875",0,0,0,0,0,0,0,0
"ENSMUSG00000033007",590,463,462,263,497,457,387,442
"ENSMUSG00000070695",619,439,588,352,658,773,624,506
"ENSMUSG00000025909",167,242,425,221,282,476,330,283
"ENSMUSG00002076179",0,0,0,0,0,0,0,0
"ENSMUSG00000102033",0,0,0,0,0,0,0,0
"ENSMUSG00000102647",7,0,1,2,1,1,2,1
"ENSMUSG00000086235",0,0,0,0,0,0,0,1
"ENSMUSG00000102253",5,0,0,0,0,0,0,0
"ENSMUSG00002074990",0,2,3,2,1,0,0,1
"ENSMUSG00000094429",0,0,0,0,0,0,0,3
"ENSMUSG00000103884",0,8,4,1,0,6,0,0
"ENSMUSG00000084353",0,0,0,0,0,0,0,0
"ENSMUSG00000103933",1,1,2,1,0,0,0,0
"ENSMUSG00002075967",0,0,0,0,0,0,0,0
"ENSMUSG00000086195",0,0,1,0,0,0,0,0
"ENSMUSG00000104504",0,0,0,0,0,0,0,0
"ENSMUSG00000066693",4,1,0,0,1,4,8,2
"ENSMUSG00000102316",88,47,47,34,47,39,41,44
"ENSMUSG00000103819",0,0,0,0,0,0,2,2
"ENSMUSG00000102871",0,0,1,0,3,0,0,0
"ENSMUSG00000101571",0,0,0,0,0,0,0,0
"ENSMUSG00000104428",0,0,0,0,0,0,0,0
"ENSMUSG00000102272",0,0,1,0,0,0,0,0
"ENSMUSG00000065625",0,0,0,0,0,0,0,0
"ENSMUSG00000103411",0,0,11,3,1,0,0,0
"ENSMUSG00000061024",377,462,474,390,512,567,537,494
"ENSMUSG00000102030",0,1,1,0,2,0,1,1
"ENSMUSG00000025911",194,217,262,176,269,252,237,298
"ENSMUSG00000081441",2,2,2,5,4,0,2,0
"ENSMUSG00000067879",3240,3768,5622,3580,5103,5651,5384,5006
"ENSMUSG00000099827",0,0,0,0,0,0,3,0
"ENSMUSG00000057335",454,659,1053,843,1163,1185,1174,1031
"ENSMUSG00000103634",0,0,1,0,0,0,0,8
"ENSMUSG00000104154",16,2,14,11,7,22,23,16
"ENSMUSG00000103435",0,0,0,0,0,0,0,0
"ENSMUSG00000065573",0,0,0,0,0,0,0,0
"ENSMUSG00002076271",0,0,0,0,0,0,0,0
"ENSMUSG00000100551",1,0,0,0,0,0,1,1
"ENSMUSG00000100357",0,0,0,0,0,0,0,0
"ENSMUSG00000025912",30,35,76,32,48,68,36,53
"ENSMUSG00000045210",498,662,1213,778,1133,1285,1114,1250
"ENSMUSG00000041763",430,577,879,570,722,805,727,681
"ENSMUSG00000026504",829,544,690,477,693,781,614,652
"ENSMUSG00000103367",0,0,0,0,0,0,0,0
"ENSMUSG00000103584",0,0,0,0,0,0,0,0
"ENSMUSG00002076339",0,0,0,0,0,0,1,0
"ENSMUSG00000102475",7,0,1,0,6,1,0,0
"ENSMUSG00000047343",3,3,2,2,8,9,1,5
"ENSMUSG00000102211",30,18,14,8,21,20,17,40
"ENSMUSG00000087082",5,5,2,6,5,3,4,3
"ENSMUSG00000090106",0,0,0,0,0,0,0,0
"ENSMUSG00000103251",23,6,10,12,22,9,15,17
"ENSMUSG00000091844",6,0,0,0,0,1,0,3
"ENSMUSG00000026483",43,42,49,32,83,53,67,49
"ENSMUSG00000082528",0,0,0,0,0,0,0,0
"ENSMUSG00000082012",0,0,0,0,0,0,0,0
"ENSMUSG00000099996",0,0,0,0,0,0,1,0
"ENSMUSG00000101763",0,0,0,0,0,0,0,0
"ENSMUSG00000100827",0,2,0,0,0,1,6,0
"ENSMUSG00000100553",1,3,6,8,12,11,8,10
"ENSMUSG00000098611",0,0,0,0,0,0,0,0
"ENSMUSG00000100534",4,5,4,0,0,2,2,0
"ENSMUSG00000102904",0,0,0,0,2,0,0,1
"ENSMUSG00002076350",0,0,0,0,0,0,0,0
"ENSMUSG00000019699",916,1320,2207,1574,1801,2439,1839,1746
"ENSMUSG00000104391",2,3,1,4,0,2,0,1
"ENSMUSG00000102133",23,4,2,4,3,10,10,8
"ENSMUSG00000102749",11,1,0,0,7,2,4,3
"ENSMUSG00000103163",0,0,2,0,0,0,0,0
"ENSMUSG00000103646",25,5,21,6,35,16,8,28
"ENSMUSG00000102427",12,0,0,1,0,0,2,2
"ENSMUSG00000103633",0,1,3,1,1,1,0,0
"ENSMUSG00000097892",12,8,13,1,2,2,8,9
"ENSMUSG00000063659",2384,2725,3883,2696,3657,4512,4196,3738
"ENSMUSG00000102432",10,1,4,2,0,10,4,8
"ENSMUSG00000103043",3,2,3,0,0,5,1,0
"ENSMUSG00000102885",0,0,0,0,1,0,0,1
"ENSMUSG00000026049",71,58,85,42,83,76,81,62
"ENSMUSG00000103767",0,0,3,0,0,0,0,0
"ENSMUSG00000043019",255,478,779,606,794,885,790,829
"ENSMUSG00000101104",0,0,0,0,1,0,0,0
"ENSMUSG00000015962",0,0,0,1,0,1,0,2
"ENSMUSG00000032666",1133,1076,1543,942,1402,1752,1475,1266
"ENSMUSG00000084557",0,0,0,0,1,2,0,0
"ENSMUSG00000100685",0,0,0,0,0,0,0,0
"ENSMUSG00000102090",0,0,0,0,0,0,0,0
"ENSMUSG00000103744",0,0,0,0,0,0,0,0
"ENSMUSG00000015961",882,1225,1636,1197,1548,1614,1548,1357
"ENSMUSG00000089657",4,0,0,0,0,0,0,4
"ENSMUSG00000102483",0,0,1,2,2,0,2,0
"ENSMUSG00000014980",333,350,385,309,395,417,308,335
"ENSMUSG00000026235",1227,1600,2286,1612,2098,2814,2476,2108
"ENSMUSG00000099141",0,0,1,0,0,0,0,0
"ENSMUSG00000032649",81,72,146,79,122,149,121,129
"ENSMUSG00000101849",6,2,4,10,7,20,15,6
"ENSMUSG00000101506",0,0,0,0,0,1,0,0
"ENSMUSG00000065215",0,0,0,0,0,0,0,0
"ENSMUSG00000102052",0,0,0,0,0,0,0,0
"ENSMUSG00000026047",88,91,122,75,150,150,133,72
"ENSMUSG00000080878",0,0,0,0,0,0,0,0
"ENSMUSG00000091476",35,31,43,32,67,57,36,28
"ENSMUSG00000104097",17,18,28,21,22,14,17,22
"ENSMUSG00000119789",0,0,0,0,0,0,0,0
"ENSMUSG00000102493",6,14,5,9,10,15,4,12
"ENSMUSG00000004872",39,5,6,1,5,3,3,0
"ENSMUSG00000118426",2,6,9,4,7,8,2,0
"ENSMUSG00000041684",249,224,430,317,411,403,359,385
"ENSMUSG00000032908",269,242,306,293,299,401,295,218
"ENSMUSG00000099561",12,3,3,0,1,0,3,0
"ENSMUSG00000102945",17,1,0,0,0,0,0,0
"ENSMUSG00000026502",184,277,426,290,422,530,364,376
"ENSMUSG00000103958",0,1,0,1,0,0,0,0
"ENSMUSG00000104126",1,7,9,1,1,4,5,1
"ENSMUSG00000026500",143,123,147,91,106,150,126,171
"ENSMUSG00000026048",449,346,513,363,505,480,533,387
"ENSMUSG00000046828",0,0,0,0,1,0,0,0
"ENSMUSG00000089703",1,0,0,0,0,0,0,1
"ENSMUSG00000100966",0,0,0,0,0,0,0,0
"ENSMUSG00000100769",0,0,0,0,0,0,0,0
"ENSMUSG00000101567",0,0,0,0,0,0,0,0
"ENSMUSG00000026245",936,808,963,626,1056,1045,863,1012
"ENSMUSG00000101798",0,0,0,0,0,1,0,0
"ENSMUSG00000104018",13,11,26,21,14,20,6,8
"ENSMUSG00000090486",62,54,51,43,66,74,56,45
"ENSMUSG00000026482",861,1260,1800,1206,1764,1928,1579,1262
"ENSMUSG00000086145",0,0,1,0,0,0,1,0
"ENSMUSG00000080950",6,3,5,6,2,2,3,0
"ENSMUSG00000099868",0,0,1,0,0,7,0,0
"ENSMUSG00000055547",2,0,3,0,0,6,1,0
"ENSMUSG00000012187",8,5,3,10,5,4,5,11
"ENSMUSG00000008475",1174,1399,2017,1443,1798,1905,1829,1702
"ENSMUSG00000099364",0,0,0,0,1,3,0,4
"ENSMUSG00000100562",0,0,0,0,0,0,0,0
"ENSMUSG00000056870",39,51,57,44,81,67,75,44
"ENSMUSG00000102319",9,1,1,2,4,6,3,6
"ENSMUSG00000089877",11,4,1,3,0,1,0,4
"ENSMUSG00000101701",0,0,0,0,2,0,0,0
"ENSMUSG00000103071",0,0,0,0,0,0,0,0
"ENSMUSG00000100434",0,0,0,0,0,0,0,0
"ENSMUSG00000100013",0,0,0,0,0,0,0,0
"ENSMUSG00000101251",0,0,0,0,0,0,0,0
"ENSMUSG00000101937",0,0,0,0,0,0,0,0
"ENSMUSG00000039630",5450,5656,8815,6091,8968,9253,8250,6524
"ENSMUSG00000104279",40,27,47,25,52,50,59,64
"ENSMUSG00002075531",0,0,0,0,0,0,0,0
"ENSMUSG00000064954",1,1,0,0,0,0,0,0
"ENSMUSG00000026495",544,339,438,279,512,490,469,488
"ENSMUSG00000032883",1650,2396,3216,2637,3364,3590,2945,3846
"ENSMUSG00000026480",81,75,74,57,85,95,93,68
"ENSMUSG00000026494",236,182,277,198,243,270,291,221
"ENSMUSG00000064967",0,0,0,0,0,0,0,0
"ENSMUSG00000102922",0,0,0,0,0,0,0,0
"ENSMUSG00000025915",134,168,303,221,303,271,235,240
"ENSMUSG00000089713",2,2,4,1,2,0,0,0
"ENSMUSG00000079470",190,153,215,146,205,259,230,200
"ENSMUSG00000099377",2,9,2,1,2,2,0,2
"ENSMUSG00000099706",1,0,0,0,0,0,0,0
"ENSMUSG00000047330",23,29,52,12,26,27,21,25
"ENSMUSG00000101324",0,0,0,0,0,0,0,0
