"","Pval","log2FoldChange_BCH_vs_BPFC"
"ENSMUSG00000000093",0.77009395869888,0.0771825626907231
"ENSMUSG00000000486",0.794879422973436,0.0728083292230428
"ENSMUSG00000000753",0.859831988017673,-0.0464927092702001
"ENSMUSG00000000901",0.455031066199812,0.148789707896618
"ENSMUSG00000001029",0.73846609614406,-0.0731867413367494
"ENSMUSG00000001054",0.745765500336213,-0.0383053241563111
"ENSMUSG00000001076",0.304512671074261,0.899336029571561
"ENSMUSG00000001151",0.169769301395492,0.232685415065364
"ENSMUSG00000001156",0.631640400097526,-0.0607827459041239
"ENSMUSG00000001227",0.368159547126293,0.0747435253644073
"ENSMUSG00000001323",0.283382421973547,-0.0910902358412578
"ENSMUSG00000001420",0.141735096532763,0.63171265939096
"ENSMUSG00000001435",0.359976504254664,0.37785754754452
"ENSMUSG00000001506",0.62835954364533,-0.179625604864016
"ENSMUSG00000001508",0.132230895886523,0.983772534781852
"ENSMUSG00000001700",0.13246530959146,0.210038938988658
"ENSMUSG00000001767",0.268951488267422,0.127606473569
"ENSMUSG00000001785",0.517387572400453,-0.0697716721115901
"ENSMUSG00000001948",0.137038676918605,-0.257851433581239
"ENSMUSG00000002265",0.0942240830899079,0.220976376190202
"ENSMUSG00000002266",0.101148034875187,0.463623423341565
"ENSMUSG00000002808",0.510269942817491,-0.0389971547606455
"ENSMUSG00000002812",0.280469208055901,0.131894476886973
"ENSMUSG00000002900",0.0763263920929107,0.192076332238067
"ENSMUSG00000002910",0.248151914172494,0.387153493014329
"ENSMUSG00000002957",0.436981757131734,0.0759757548242353
"ENSMUSG00000003070",0.58987279605239,-0.0568527524350823
"ENSMUSG00000003226",0.831710179397553,-0.020831784493136
"ENSMUSG00000003269",0.987878940000936,0.00160996911084023
"ENSMUSG00000003379",0.963532422654115,-0.0136666935406153
"ENSMUSG00000003438",0.416855802797647,-0.0863347819290621
"ENSMUSG00000003531",0.995792297730913,0.000948841151836176
"ENSMUSG00000003617",0.491725666042818,0.136772354194869
"ENSMUSG00000003752",0.590210340626991,0.122373082646876
"ENSMUSG00000004018",0.573621170545147,-0.102082261211601
"ENSMUSG00000004071",0.900231577423876,0.00788002122409505
"ENSMUSG00000004100",0.987816244485608,-0.00151298870279141
"ENSMUSG00000004383",0.0747452839888931,-0.149162067937328
"ENSMUSG00000004591",0.588582481915116,-0.0999253730409958
"ENSMUSG00000004892",0.0520235421068698,0.165800264365328
"ENSMUSG00000004894",0.0330713850507113,0.301365449078643
"ENSMUSG00000004929",0.739219580242833,-0.048737168268675
"ENSMUSG00000004980",0.58589246473936,-0.0498318173197751
"ENSMUSG00000005198",0.102664971239434,0.175378631491115
"ENSMUSG00000005510",0.187840461010701,-0.159932930111747
"ENSMUSG00000006024",0.762615841358418,-0.0299149371918
"ENSMUSG00000006050",0.766629636988391,-0.0183844573280661
"ENSMUSG00000006057",0.705499927620637,-0.0380074218497911
