"","Pval","log2FoldChange_BCH_vs_BPFC"
"ENSMUSG00000000058",0.2,-0.212730988403099
"ENSMUSG00000000131",0.0285714285714286,0.134608983062103
"ENSMUSG00000000278",0.685714285714286,0.02362776349151
"ENSMUSG00000001150",0.2,0.107506652656784
"ENSMUSG00000001248",0.685714285714286,0.0941350787894448
"ENSMUSG00000001493",0.342857142857143,-0.273877012948215
"ENSMUSG00000001518",1,0.00770745494040602
"ENSMUSG00000001741",0.0571428571428571,0.642198441300256
"ENSMUSG00000001827",0.2,0.666216991649166
"ENSMUSG00000001855",0.2,0.132743960196308
"ENSMUSG00000002007",0.342857142857143,0.0902813280178503
"ENSMUSG00000002205",0.2,-0.110031465166582
"ENSMUSG00000002274",0.685714285714286,0.0418228887544905
"ENSMUSG00000002297",0.2,0.45052402424901
"ENSMUSG00000002608",0.685714285714286,0.0765499011665748
"ENSMUSG00000002633",0.2,0.206220915951198
"ENSMUSG00000002781",0.342857142857143,0.156510624623893
"ENSMUSG00000002820",0.2,0.082743964297088
"ENSMUSG00000002930",0.685714285714286,1.46782295741789
"ENSMUSG00000003131",0.342857142857143,0.00258810405552385
"ENSMUSG00000003283",0.885714285714286,-0.090966551111959
"ENSMUSG00000003309",0.485714285714286,0.23538787798922
"ENSMUSG00000003360",0.885714285714286,0.0418454204293524
"ENSMUSG00000003382",0.885714285714286,0.0629640500348596
"ENSMUSG00000003541",0.2,0.203299804053823
"ENSMUSG00000003644",0.485714285714286,0.124766931125104
"ENSMUSG00000003814",0.485714285714286,-0.122590044018938
"ENSMUSG00000003872",0.0285714285714286,-0.210941533561198
"ENSMUSG00000004035",0.342857142857143,0.0541257742652527
"ENSMUSG00000004044",0.342857142857143,0.14346305982073
"ENSMUSG00000004500",0.885714285714286,-0.00320240691887559
"ENSMUSG00000004609",0.342857142857143,0.20703866701176
"ENSMUSG00000004630",0.885714285714286,2.64910646510109
"ENSMUSG00000004988",0.2,0.525491902513298
"ENSMUSG00000005357",0.885714285714286,0.307863696451421
"ENSMUSG00000005716",0.885714285714286,0.118687467714615
"ENSMUSG00000005774",0.342857142857143,0.128211382667034
"ENSMUSG00000005802",0.2,-0.1130543859314
"ENSMUSG00000005873",0.685714285714286,-0.0834255101976885
"ENSMUSG00000006095",0.2,-0.158969686401076
"ENSMUSG00000006313",0.2,0.37832156873549
"ENSMUSG00000006519",0.685714285714286,-0.0623987159457638
"ENSMUSG00000007039",0.2,-0.197532980724361
"ENSMUSG00000007097",1,0.0305722909725741
"ENSMUSG00000007617",0.685714285714286,-0.144658817073744
"ENSMUSG00000007891",0.685714285714286,-0.148342981459629
"ENSMUSG00000008200",0.685714285714286,0.0732595081974562
"ENSMUSG00000008226",0.685714285714286,-0.0422309586516778
"ENSMUSG00000009281",0.885714285714286,-0.0969261186681489
"ENSMUSG00000009741",0.685714285714286,0.0944133651321013
"ENSMUSG00000010538",0.685714285714286,0.0574071683929684
"ENSMUSG00000010914",0.885714285714286,0.0285162305194418
"ENSMUSG00000011751",0.114285714285714,0.256601122047803
"ENSMUSG00000012114",0.2,0.210375792583658
"ENSMUSG00000012819",0.485714285714286,0.293501700004348
"ENSMUSG00000013236",0.685714285714286,0.127727369587465
"ENSMUSG00000013593",0.2,-0.108370757106345
"ENSMUSG00000014075",0.342857142857143,0.107655435423869
"ENSMUSG00000014198",0.2,1.54434389367264
"ENSMUSG00000014601",0.0285714285714286,-0.156095082478953
"ENSMUSG00000014606",0.685714285714286,-0.0657702405153024
"ENSMUSG00000014846",1,0.0550020827597577
"ENSMUSG00000015027",0.485714285714286,0.0988136626519628
"ENSMUSG00000015461",0.342857142857143,-0.00754688349996324
"ENSMUSG00000015476",0.885714285714286,0.0624518758466645
"ENSMUSG00000015597",0.685714285714286,0.0670727635221654
"ENSMUSG00000015599",0.2,0.190860150023371
"ENSMUSG00000015733",0.2,-0.158010170611156
"ENSMUSG00000015747",0.2,-0.23355138220422
"ENSMUSG00000015748",0.342857142857143,0.0559582017830129
"ENSMUSG00000015889",0.685714285714286,0.0214554657789782
"ENSMUSG00000015932",0.2,-0.107923584733243
"ENSMUSG00000016319",0.2,-0.13109173201264
"ENSMUSG00000016763",0.342857142857143,0.0626926208765596
"ENSMUSG00000017009",0.485714285714286,0.0184501296484708
"ENSMUSG00000017548",0.2,-0.133202570860841
"ENSMUSG00000017754",0.685714285714286,0.105947884367709
"ENSMUSG00000018008",0.685714285714286,-0.0635046946894609
"ENSMUSG00000018672",0.485714285714286,0.20983479264515
"ENSMUSG00000018677",0.342857142857143,-0.0595900779104172
"ENSMUSG00000019124",0.342857142857143,0.0435356593759164
"ENSMUSG00000019302",1,0.0438850004717516
"ENSMUSG00000019794",0.342857142857143,-0.204654010624696
"ENSMUSG00000019828",0.342857142857143,0.0134879544887572
"ENSMUSG00000019838",0.885714285714286,0.0629729658102239
"ENSMUSG00000019846",0.342857142857143,-0.12594898183503
"ENSMUSG00000019866",0.885714285714286,0.248894344270117
"ENSMUSG00000019969",0.2,0.144078954627218
"ENSMUSG00000020070",0.685714285714286,0.0455597325132968
"ENSMUSG00000020074",0.342857142857143,-0.104508609487292
"ENSMUSG00000020091",0.342857142857143,0.141134062220137
"ENSMUSG00000020097",0.885714285714286,0.0205017315370805
"ENSMUSG00000020123",0.2,0.227842993011489
"ENSMUSG00000020132",0.485714285714286,-0.0218511923079719
"ENSMUSG00000020358",1,-0.0183817364384517
"ENSMUSG00000020368",0.685714285714286,-0.131018001746485
"ENSMUSG00000020385",0.885714285714286,0.0200856278009908
"ENSMUSG00000020428",0.885714285714286,1.93042492788552
"ENSMUSG00000020441",0.2,-0.191166400259042
"ENSMUSG00000020492",0.885714285714286,-0.638493236543288
"ENSMUSG00000020526",0.0285714285714286,-0.385668281008145
"ENSMUSG00000020530",0.485714285714286,0.013239747019229
"ENSMUSG00000020538",0.0571428571428571,0.206912699796468
"ENSMUSG00000020546",0.342857142857143,0.0622444385162888
"ENSMUSG00000020562",0.485714285714286,0.19667697493304
"ENSMUSG00000020612",0.685714285714286,-0.0438311488798643
"ENSMUSG00000020660",0.342857142857143,0.0649335533014757
"ENSMUSG00000020681",0.0285714285714286,0.535058722429709
"ENSMUSG00000020776",0.2,0.13100696525255
"ENSMUSG00000020788",0.485714285714286,0.789063249183044
"ENSMUSG00000020831",0.885714285714286,-0.0152426584701838
"ENSMUSG00000020849",0.114285714285714,-0.111796295266073
"ENSMUSG00000020866",0.2,0.217408239870441
"ENSMUSG00000020884",0.685714285714286,0.135723982805574
"ENSMUSG00000020886",0.485714285714286,0.0319237014481723
"ENSMUSG00000020889",0.342857142857143,-0.0135567831146962
"ENSMUSG00000020921",0.485714285714286,0.0402841641427062
"ENSMUSG00000020937",0.342857142857143,0.0958332354801567
"ENSMUSG00000020964",1,-0.00576283937064207
"ENSMUSG00000021024",0.485714285714286,-0.112472555337584
"ENSMUSG00000021040",0.485714285714286,-0.0616898401644798
"ENSMUSG00000021065",0.2,-0.0955043085437226
"ENSMUSG00000021114",0.485714285714286,-0.0759429428190394
"ENSMUSG00000021135",0.485714285714286,0.177872700693737
"ENSMUSG00000021196",0.342857142857143,-0.0490152593906643
"ENSMUSG00000021226",0.685714285714286,0.0604868640986585
